level,series,weight
0,Consumer Price Index (CPI),10000
0,All Items Less Accommodation,7344
0,All Items Less Imputed Rentals For Housing,7862
1,Food,2042
1,Clothing and Footwear (C&F),165
1,Housing & Utilities,2938
1,Household Durables & Services (HDS),547
1,Health,1008
1,Transport,1307
1,Information & Communication (InfoComm),381
1,"Recreation, Sport & Culture (RSC)",595
1,Education,579
1,Miscellaneous Goods & Services (MG&S),438
2,Food Excl Food & Beverage Serving Services (FFBSS),651
2,Food & Beverage Serving Services (FBSS),1391
2,C&F: Clothing,129
2,C&F: Footwear,36
2,Housing & Utilities: Accommodation,2656
2,Housing & Utilities: Utilities & Other Fuels,282
2,HDS: Furniture & Furnishings,128
2,HDS: Household Textiles,17
2,HDS: Household Appliances,101
2,"HDS: Glassware, Tableware & Household Utensils",17
2,HDS: Tools & Equipment For House & Garden,5
2,HDS: Household Services & Supplies (HSS),279
2,Health: Medicines & Health Products,94
2,Health: Outpatient Services,428
2,Health: Inpatient Services,238
2,Health: Other Health Services (OHS),23
2,Health: Health Insurance,225
2,Transport: Private Transport,906
2,Transport: Land Transport Services,262
2,Transport: Other Transport Services,131
2,Transport: Transport Services Of Goods,8
2,InfoComm: Information & Communication Equipment,91
2,InfoComm: Software Excl Games,3
2,InfoComm: InfoComm Services,287
2,RSC: Recreational & Cultural Goods,9
2,RSC: Other Recreational Goods (ORG),33
2,RSC: Garden Products & Pets,27
2,RSC: Recreational Services,144
2,RSC: Cultural Services,52
2,"RSC: Newspapers, Books & Stationery (NBS)",20
2,RSC: Holiday Expenses,310
2,"Education: General, Vocational & Higher Education (GVH Edu)",391
2,Education: Private Tuition & Other Educational Courses,184
2,Education: School Textbooks & Study Guides,4
2,MG&S: Personal Care,211
2,MG&S: Alcoholic Drinks & Tobacco,58
2,MG&S: Personal Effects,62
2,MG&S: Social Services,32
2,MG&S: Other Miscellaneous Services,75
2,"FBSS: Restaurants, Cafes & Pubs",585
2,FBSS: Fast Food,85
2,FBSS: Hawker Food Incl. Food Courts (HF&FC),707
2,"FBSS: Oth Catering Services, Incl Vending Machines",14
3,FFBSS: Rice & Cereals,122
3,FFBSS: Meat,101
3,FFBSS: Fish & Seafood,79
3,"FFBSS: Milk, Other Dairy & Eggs",64
3,FFBSS: Oils & Fats,12
3,FFBSS: Fruits & Nuts (FN),79
3,FFBSS: Vegetables,82
3,"FFBSS: Sugar, Confectionery & Desserts (SCD)",27
3,FFBSS: Ready-Made & Oth. Food Nec,44
3,FFBSS: Non-Alcoholic Beverages,41
